,一、营业总收入_利润,营业收入_利润,税金及附加_利润,销售费用_利润,管理费用_利润,研发费用_利润,财务费用_利润,其中：利息费用_利润,其中：利息收入_利润,投资收益_利润,其中：对联营企业和合营企业的投资收益_利润,公允价值变动收益_利润,资产处置收益_利润,资产减值损失_利润,信用减值损失_利润,营业利润_利润,利润总额_利润,净利润_利润,持续经营净利润_利润,归属于母公司所有者的净利润_利润,少数股东损益_利润,基本每股收益_利润,稀释每股收益_利润,所得税费用_利润,index_deduct_holder_net_profit_利润,minority_common_profit_total_利润,minority_comprehensive_income_利润,营业外支出_利润,营业外收入_利润,营业成本_利润,其他综合收益_利润,其他收益_利润,parent_other_comprehensive_income_利润,货币资金_资产,交易性金融资产_资产,应收账款_资产,应收票据及应收账款_资产,预付款项_资产,其他应收款_资产,存货_资产,其他流动资产_资产,流动资产合计_资产,无形资产_资产,长期股权投资_资产,商誉_资产,递延所得税资产_资产,其他非流动资产_资产,非流动资产合计_资产,短期借款_资产,应付账款_资产,预收款项_资产,合同负债_资产,应付职工薪酬_资产,应交税费_资产,其他应付款_资产,一年内到期的非流动负债_资产,其他流动负债_资产,流动负债合计_资产,长期借款_资产,应付债券_资产,递延所得税负债_资产,非流动负债合计_资产,资本公积_资产,盈余公积_资产,未分配利润_资产,归属于母公司所有者权益合计_资产,少数股东权益_资产,所有者权益（或股东权益）合计_资产,资产合计_资产,负债合计_资产,其中：应收票据_资产,其他应收款合计_资产,其中：应收利息_资产,一年内到期的非流动资产_资产,总现金_资产,可供出售金融资产_资产,其他权益工具投资_资产,固定资产合计_资产,其中：固定资产_资产,固定资产清理_资产,在建工程合计_资产,其中：在建工程_资产,长期待摊费用_资产,应付票据及应付账款_资产,其中：应付票据_资产,其他应付款合计_资产,其中：应付利息_资产,长期应付款合计_资产,其中：长期应付款_资产,专项应付款_资产,预计负债_资产,递延收益-非流动负债_资产,实收资本（或股本）_资产,减：库存股_资产,其他综合收益_资产,负债和所有者权益（或股东权益）合计_资产,销售商品、提供劳务收到的现金_现金流,收到的税费与返还_现金流,收到其他与经营活动有关的现金_现金流,经营活动现金流入小计_现金流,购买商品、接受劳务支付的现金_现金流,支付给职工以及为职工支付的现金_现金流,支付的各项税费_现金流,支付其他与经营活动有关的现金_现金流,经营活动现金流出小计_现金流,经营活动产生的现金流量净额_现金流,收回投资收到的现金_现金流,取得投资收益收到的现金_现金流,处置固定资产、无形资产和其他长期资产收回的现金净额_现金流,收到其他与投资活动有关的现金_现金流,投资活动现金流入小计_现金流,购建固定资产、无形资产和其他长期资产支付的现金_现金流,投资支付的现金_现金流,投资活动现金流出小计_现金流,投资活动产生的现金流量净额_现金流,吸收投资收到的现金_现金流,取得借款收到的现金_现金流,筹资活动现金流入小计_现金流,偿还债务支付的现金_现金流,分配股利、利润或偿付利息支付的现金_现金流,筹资活动现金流出小计_现金流,筹资活动产生的现金流量净额_现金流,现金及现金等价物净增加额_现金流,加：期初现金及现金等价物余额_现金流,期末现金及现金等价物余额_现金流,处置子公司及其他营业单位收到的现金净额_现金流,取得子公司及其他营业单位支付的现金净额_现金流,支付其他与投资活动有关的现金_现金流,其中：子公司吸收少数股东投资收到的现金_现金流,收到其他与筹资活动有关的现金_现金流,其中：子公司支付给少数股东的股利、利润_现金流,支付其他与筹资活动有关的现金_现金流,四、汇率变动对现金及现金等价物的影响_现金流,五、现金及现金等价物净增加额_现金流,六、期末现金及现金等价物余额_现金流,净利润_现金流,加：资产减值准备_现金流,固定资产折旧、油气资产折耗、生产性生物资产折旧_现金流,无形资产摊销_现金流,长期待摊费用摊销_现金流,处置固定资产、无形资产和其他长期资产的损失_现金流,固定资产报废损失_现金流,公允价值变动损失_现金流,财务费用_现金流,投资损失_现金流,递延所得税资产减少_现金流,递延所得税负债增加_现金流,存货的减少_现金流,经营性应收项目的减少_现金流,经营性应付项目的增加_现金流,间接法-经营活动产生的现金流量净额_现金流,现金的期末余额_现金流,减：现金的期初余额_现金流,间接法-现金及现金等价物净增加额_现金流
2016年报,16192433345.64,16192433345.64,507065517.42,1040867383.23,857649823.83,0.0,31223587.42,0.0,0.0,17085648.52,6029906.81,0.0,45464379.65,42618202.32,0.0,714757681.61,778432447.79,635095097.9,635095097.9,513516901.47,121578196.43,0.63,0.63,143337349.89,432603030.43,122007960.76,429764.33,16276447.14,79951213.32,15540225692.2,-2325030.76,0.0,-2754795.09,3778000000.0,0.0,393000000.0,7448999999.999999,257000000.0,24413600.0,1091000000.0,113000000.0,12713000000.0,1262000000.0,171000000.0,274300.0,75366200.0,165000000.0,7123000000.0,1742000000.0,3223000000.0,2414000000.0,0.0,203000000.0,274000000.0,320000000.0,132000000.0,0.0,14169000000.0,590000000.0,0.0,27366700.0,1093000000.0,1085000000.0,185000000.0,1695000000.0,3850000000.0,723000000.0,4574000000.0,19836000000.0,15262000000.0,7056000000.0,24413600.0,0.0,0.0,3778000000.0,64671600.0,0.0,3087000000.0,3087000000.0,0.0,676000000.0,676000000.0,21054000.0,9082000000.0,5859000000.0,323000000.0,3085900.0,0.0,0.0,0.0,26380700.0,449000000.0,893000000.0,0.0,-7699500.0,19836000000.0,13143000000.0,41826400.0,185000000.0,13370000000.0,8725000000.0,849000000.0,1075000000.0,1575000000.0,12224000000.0,1146000000.0,0.0,7898000.0,50529600.0,0.0,64497800.0,643000000.0,82500000.0,725000000.0,-661000000.0,738000000.0,2256000000.0,3022000000.0,1818000000.0,88699700.0,1939000000.0,1083000000.0,1571000000.0,783000000.0,2354000000.0,6070200.0,0.0,0.0,0.0,27790000.0,0.0,32016000.0,3051100.0,1571000000.0,2354000000.0,635000000.0,42618200.0,480999999.9999999,124000000.0,5164400.000000001,-45464399.99999999,4282900.0,0.0,89218900.0,-17085600.0,-2747300.0,-2803400.0,-398000000.0,-3166000000.0,3396000000.0,1146000000.0,2354000000.0,783000000.0,1571000000.0
2016Q1,3192494361.94,3192494361.94,89758235.88,235452003.17,190455452.35,0.0,19150137.5,0.0,0.0,3113381.63,532274.39,0.0,0.0,3534641.43,0.0,143156395.93,174198611.67,134479316.05,0.0,118071516.13,16407799.92,0.16,0.0,39719295.62,86418500.0,16567086.78,159286.86,566284.9,31608500.64,3052451347.64,1828813.36,0.0,1669526.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715000000.0,0.0,3333000000.0,14019000000.0,10686000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479000000.0,8727300.0,23681800.0,2511000000.0,1512000000.0,261000000.0,291000000.0,262000000.0,2325000000.0,187000000.0,0.0,0.0,48979200.0,0.0,49042500.0,133000000.0,82500000.0,215000000.0,-166000000.0,0.0,320000000.0,341000000.0,300000000.0,28789300.0,329000000.0,11330700.0,32167200.0,783000000.0,816000000.0,63300.0,0.0,0.0,0.0,21000000.0,0.0,250000.0,427000.0,32167200.0,816000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016Q2,6335555683.44,6335555683.44,167986672.51,449972564.03,362921849.04,0.0,39083090.27,0.0,0.0,4811555.19,2230447.95,0.0,0.0,18170575.17,0.0,231473158.67,273662197.64,216515361.24,0.0,195599554.58,20915806.66,0.26,0.26,57146836.4,158280894.57,21255160.89,339354.23,2178699.18,44367738.15,6108894079.96,3177536.68,0.0,2838182.45,2981000000.0,0.0,419000000.0000001,5063000000.0,149000000.0,16127100.0,813000000.0000001,60840400.0,9083000000.0,1258000000.0,167000000.0,274300.0,70203900.0,127000000.0,6110000000.0,1614000000.0,2377000000.0,434999999.9999999,0.0,60927600.0,71474700.0,293000000.0,5000000.0,0.0,10023000000.0,511000000.0000001,0.0,28760600.0,1010000000.0,1085000000.0,76201900.0,1486000000.0,3538000000.0,623000000.0,4160000000.0,15194000000.0,11033000000.0,4645000000.0,16127100.0,0.0,0.0,2981000000.0,64671600.0,0.0,3175000000.0,3175000000.0,0.0,649000000.0,649000000.0,4906300.0,7543000000.000001,5167000000.0,294000000.0,1496200.0,0.0,0.0,0.0,13238800.0,457000000.0,893000000.0,0.0,-2106500.0,15194000000.0,5280000000.0,18085000.0,115000000.0,5412000000.0,2624000000.0,438000000.0,536000000.0000001,1201000000.0,4798000000.0,614000000.0,0.0,0.0,50357200.0,0.0,50420400.0,373000000.0,82500000.0,455000000.0,-405000000.0,761000000.0,960000000.0,1748000000.0,869999999.9999999,47744100.0,928999999.9999999,819000000.0,1030000000.0,783000000.0,1813000000.0,63300.0,0.0,0.0,0.0,26590000.0,0.0,10870000.0,1159600.0,1030000000.0,1813000000.0,217000000.0,18170600.0,230000000.0,54864799.99999999,1110200.0,-2327100.0,1300.0,0.0,55582400.0,-4811600.0,2414900.0,-1409500.0,-94636200.00000001,-94507300.0,232000000.0,614000000.0,1813000000.0,783000000.0,1030000000.0
2016Q3,10201440748.18,10201440748.18,283091859.47,701568465.96,548065997.74,0.0,49897945.7,0.0,0.0,13988970.02,3509862.78,0.0,0.0,23087196.68,0.0,339920950.83,402292388.91,318711606.36,0.0,290534351.4,28177254.96,0.36,0.0,83580782.55,242424224.87,28565877.53,388622.57,7485350.97,69856789.05,9875508767.37,3318711.7,0.0,2930089.13,3289000000.0,0.0,407000000.0,6107000000.0,441000000.0,9812600.0,864000000.0,33725700.0,10745000000.0,1230000000.0,168000000.0,274300.0,73941900.0,105000000.0,6448999999.999999,1605000000.0,3160000000.0,1333000000.0,0.0,72782600.0,110000000.0,310000000.0,75000000.0,0.0,11906000000.0,524000000.0,0.0,28060900.0,1025000000.0,1085000000.0,76201900.0,1581000000.0,3633000000.0,630000000.0,4263000000.0,17194000000.0,12931000000.0,5700000000.0,9812600.0,0.0,0.0,3289000000.0,64671600.0,0.0,3124000000.0,3124000000.0,0.0,686000000.0,686000000.0,11412100.0,8398000000.0,5238000000.0,312000000.0,2428500.0,0.0,0.0,0.0,16203500.0,455999999.9999999,893000000.0,0.0,-2014600.0,17194000000.0,8348999999.999999,30151400.0,341000000.0,8720000000.0,4488000000.0,609000000.0,776000000.0,1986000000.0,7859000000.0,861000000.0,0.0,7898000.0,50926400.0,0.0,62398100.00000001,525000000.0,82500000.0,611000000.0,-548000000.0,761000000.0,1691000000.0,2483000000.0,1529000000.0,64359300.0,1623000000.0,861000000.0,1175000000.0,783000000.0,1959000000.0,3573800.0,3342400.0,0.0,0.0,30750000.0,0.0,29470000.0,1661600.0,1175000000.0,1959000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017年报,21933763911.67,21933763911.67,699669865.17,1282388655.04,913846191.09,467812314.43,30211619.41,137861810.57,117984910.51,14875439.06,7251751.19,0.0,15755255.67,202324244.1,0.0,1385713724.48,1418923501.72,1101349405.12,1101349405.12,724768806.15,376580598.97,0.81,0.81,317574096.6,639271755.03,376520394.64,-60204.33,12297793.74,45507570.98,20664748769.28,-16808873.66,86067887.36,-16748669.33,5861000000.0,0.0,957000000.0,6542000000.0,308000000.0,28386600.0,1338000000.0,241000000.0,14318000000.0,1159000000.0,178000000.0,221000000.0,61002000.0,255000000.0,9396000000.0,1494000000.0,4734000000.0,2194000000.0,0.0,336000000.0,277000000.0,650000000.0,437000000.0,0.0,14363000000.0,1958000000.0,1070000000.0,25021800.0,3527000000.0,1261000000.0,190000000.0,2147000000.0,4724000000.0,1100000000.0,5824000000.0,23714000000.0,17890000000.0,5585000000.0,28386600.0,0.0,0.0,5861000000.0,64671600.0,0.0,3659000000.0,3659000000.0,0.0,1533000000.0,1533000000.0,43496000.0,8971000000.0,4237000000.0,654000000.0,4228500.0,105000000.0,105000000.0,0.0,21777800.0,347000000.0,909000000.0,172000000.0,-24448200.0,23714000000.0,19386000000.0,60144399.99999999,398000000.0,19844000000.0,14437000000.0,1190000000.0,1624000000.0,1596000000.0,18847000000.0,997000000.0000001,0.0,7898000.0,78948400.0,4286300.0,91132700.0,1594000000.0,0.0,1725000000.0,-1633000000.0,172000000.0,4834000000.0,5006000000.0,1918000000.0,400000000.0,2347000000.0,2659000000.0,2012000000.0,2354000000.0,4366000000.0,0.0,130000000.0,0.0,0.0,0.0,0.0,27984000.0,-10154600.0,2012000000.0,4366000000.0,1101000000.0,202000000.0,468000000.0,137000000.0,19034600.0,-15755300.0,10063400.0,0.0,138000000.0,-14875400.0,-7041700.0,-2344900.0,-242000000.0,-931000000.0,134000000.0,997000000.0000001,4366000000.0,2354000000.0,2012000000.0
2017Q1,5874401470.84,5874401470.84,224985909.9,340868073.52,240275917.33,0.0,3436998.03,0.0,0.0,1692773.29,1692773.29,0.0,0.0,65645727.17,0.0,353779713.36,363017242.98,286636979.31,286636979.31,201687966.92,84949012.39,0.23,0.23,76380263.67,195665702.08,84894429.56,-54582.83,1852217.39,11089747.01,5522314530.77,801816.82,0.0,856399.65,4820000000.0,0.0,373000000.0,6634000000.0,235000000.0,30833300.0,1653000000.0,162000000.0,13535000000.0,1235000000.0,173000000.0,274300.0,88271600.0,176000000.0,7798000000.0,1876000000.0,5049000000.0,1678000000.0,0.0,76781000.0,247000000.0,338000000.0,76298100.0,0.0,15123000000.0,851000000.0,0.0,26682000.0,1349000000.0,1085000000.0,185000000.0,1897000000.0,4053000000.0,808000000.0,4861000000.0,21333000000.0,16472000000.0,6261000000.0,30833300.0,0.0,0.0,4820000000.0,64671600.0,0.0,3018000000.0,3018000000.0,0.0,806000000.0,806000000.0,36384500.0,10829000000.0,5780000000.0,339000000.0,846600.0,0.0,0.0,0.0,25699300.0,446000000.0,893000000.0,0.0,-6843099.999999999,21333000000.0,5677000000.0,8244000.0,265000000.0,5950000000.0,3003000000.0,399000000.0,534000000.0,1493000000.0,5428000000.0,521000000.0,0.0,0.0,56060800.0,0.0,56060800.0,103000000.0,0.0,103000000.0,-47113600.0,0.0,663000000.0,663000000.0,321000000.0,23786700.0,345000000.0,318000000.0,793000000.0,2354000000.0,3147000000.0,0.0,0.0,0.0,0.0,0.0,0.0,403500.0,86199.99999999999,793000000.0,3147000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017Q2,10070903036.92,10070903036.92,339945702.21,578915828.82,492208164.0,0.0,12584839.99,0.0,0.0,10649343.01,3025655.14,0.0,-67844.27,101111360.56,0.0,654063042.89,666325442.66,529031149.81,529031149.81,390444705.76,138586444.05,0.44,0.44,137294292.85,368358854.75,138478865.44,-107578.61,3211624.59,15474024.36,9449548703.44,1095138.31,22127210.67,1202716.92,5519000000.0,0.0,385000000.0,4984000000.0,396000000.0,113000000.0,1237000000.0,196000000.0,12446000000.0,1208000000.0,174000000.0,0.0,79332800.0,404000000.0,8027000000.0,1835000000.0,2801000000.0,999000000.0,0.0,73172900.0,141000000.0,444000000.0000001,212000000.0,0.0,13690000000.0,1462000000.0,0.0,26055200.0,1948000000.0,1085000000.0,185000000.0,1818000000.0,3974000000.0,861999999.9999999,4836000000.0,20473000000.0,15637000000.0,4599000000.0,113000000.0,0.0,0.0,5519000000.0,64671600.0,0.0,2923000000.0,2923000000.0,0.0,861999999.9999999,861999999.9999999,53607500.0,9984000000.0,7183000000.0,446000000.0,1375900.0,0.0,0.0,0.0,15749600.0,444000000.0000001,893000000.0,0.0,-6496799.999999999,20473000000.0,10768000000.0,26381900.0,638000000.0,11432000000.0,6531999999.999999,626000000.0,963000000.0000001,2946000000.0,11067000000.0,365000000.0,0.0,7898000.0,73186700.0,0.0,81084700.0,326000000.0,0.0,326000000.0,-245000000.0,0.0,1918000000.0,1918000000.0,859000000.0,319000000.0,1178000000.0,740000000.0,857000000.0,2354000000.0,3211000000.0,0.0,0.0,0.0,0.0,850000.0,0.0,0.0,-3497400.0,857000000.0,3211000000.0,529000000.0,101000000.0,236000000.0,61220000.0,7662200.0,3214800.0,0.0,0.0,52767100.0,-10649300.0,-3966600.0,-1311500.0,-183000000.0,1324000000.0,-1751000000.0,365000000.0,3211000000.0,2354000000.0,857000000.0
2017Q3,14510085300.4,14510085300.4,478184808.78,851430571.48,494984243.03,265850775.92,29437120.63,217097767.47,191739543.62,11752601.12,4128913.25,0.0,8726986.3,175248812.72,0.0,841246615.32,859594644.53,682781834.53,682781834.53,490295210.24,192486624.29,0.55,0.0,176812810.0,454246730.96,192548603.95,61979.66,5124803.11,23472832.32,13721549956.36,739963.43,32231683.86,677983.77,6261000000.0,0.0,423000000.0000001,5430000000.0,459999999.9999999,242000000.0,1876000000.0,180000000.0,14449000000.0,1112000000.0,175000000.0,0.0,69905200.0,526000000.0,7937000000.0,1767000000.0,3913000000.0,1607000000.0,0.0,74111800.0,121000000.0,606000000.0,204000000.0,0.0,15220000000.0,1779000000.0,0.0,25532500.0,2173000000.0,1244000000.0,185000000.0,1916000000.0,4075000000.0,918000000.0,4993000000.0,22387000000.0,17394000000.0,5008000000.0,242000000.0,0.0,0.0,6261000000.0,64671600.0,0.0,2857000000.0,2857000000.0,0.0,933000000.0,933000000.0,53093900.0,10838000000.0,6923999999.999999,609000000.0,2465300.0,0.0,0.0,0.0,18110900.0,350000000.0,909000000.0,172000000.0,-7021500.0,22387000000.0,15166000000.0,34604000.0,985000000.0,16186000000.0,9288000000.0,865000000.0,1259000000.0,4518000000.0,15930000000.0,256000000.0,0.0,7898000.0,84731900.0,0.0,92629900.0,629000000.0,0.0,629000000.0,-536000000.0000001,172000000.0,2790000000.0,2966000000.0,1477000000.0,353000000.0,1831000000.0,1135000000.0,848000000.0,2354000000.0,3202000000.0,0.0,0.0,0.0,0.0,4286300.0,0.0,0.0,-7095900.0,848000000.0,3202000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018年报,20239783232.0,20239783232.0,683794917.44,1589305374.76,1235074935.71,483111987.41,120521530.8,230635677.2,147363426.21,67278990.9,7129108.02,0.0,7374176.51,-314941407.11,0.0,664951604.61,778466371.36,496919121.76,496919121.76,95403615.83,401515505.93,0.1,0.1,281547249.6,-152392020.61,401449749.98,-65755.95,26302865.49,139817632.24,19521606038.32,40112053.73,187062650.63,40177809.68,4685000000.0,0.0,1498000000.0,5745000000.0,327000000.0,123000000.0,1773000000.0,493000000.0,13157000000.0,2015000000.0,182000000.0,199000000.0,100000000.0,522000000.0,13719000000.0,2202000000.0,5054000000.0,923000000.0,0.0,340000000.0,323000000.0,1012000000.0,176000000.0,0.0,15301000000.0,2441000000.0,673000000.0,81477500.0,4317000000.0,2011000000.0,191000000.0,1998000000.0,5283000000.0,1975000000.0,7258000000.0,26877000000.0,19619000000.0,4248000000.0,135000000.0,0.0,0.0,4685000000.0,66171600.0,0.0,4930000000.0,4909000000.0,20596400.0,2863000000.0,2863000000.0,59861100.0,10322000000.0,5268000000.0,1016000000.0,3449500.0,521000000.0,14533200.0,507000000.0,29122900.0,571000000.0,944999999.9999999,121000000.0,15729700.0,26877000000.0,17443000000.0,250000000.0,1263000000.0,18956000000.0,12521000000.0,1411000000.0,1543000000.0,2363000000.0,17839000000.0,1117000000.0,0.0,9203300.0,11624200.0,0.0,65827500.0,2584000000.0,11500300.0,2893000000.0,-2828000000.0,500000000.0,3832000000.0,4332000000.0,3323000000.0,561000000.0,4018000000.0,314000000.0,-1417000000.0,4367000000.0,2949000000.0,45000000.0,298000000.0,0.0,500000000.0,0.0,111000000.0,133000000.0,-20871100.0,-1417000000.0,2949000000.0,497000000.0,315000000.0,530999999.9999999,200000000.0,25829700.0,-7374200.0,23063300.0,0.0,231000000.0,-67279000.0,-39450900.0,-14722800.0,-451999999.9999999,484000000.0,-609000000.0,1117000000.0,2949000000.0,4367000000.0,-1417000000.0
2018Q1,6256871951.09,6256871951.09,237792516.43,341642773.63,263169814.62,88013288.83,19835819.22,40493998.8,24613269.5,2152328.29,2152328.29,0.0,51278485.72,20868565.57,0.0,517144984.54,522993530.82,400471455.46,400471455.46,220642388.12,179829067.34,0.24,0.24,122522075.36,154620342.73,179598164.06,-230903.28,1285876.9,7134423.18,5811279938.53,-38196071.97,18122157.97,-37965168.69,6947000000.0,0.0,906000000.0,6419000000.0,249000000.0,187000000.0,1474000000.0,215000000.0,15491000000.0,1080000000.0,180000000.0,213000000.0,67294600.0,300000000.0,9790000000.0,1910000000.0,4539000000.0,2305000000.0,0.0,96506299.99999999,259000000.0,704000000.0,356000000.0,0.0,15577000000.0,1871000000.0,1089000000.0,24632200.0,3505000000.0,1274000000.0,190000000.0,2368000000.0,4920000000.0,1279000000.0,6199000000.0,25281000000.0,19082000000.0,5513000000.0,187000000.0,0.0,0.0,6947000000.0,64671600.0,0.0,3523000000.0,3523000000.0,0.0,1947000000.0,1947000000.0,42026200.0,9941000000.0,5402000000.0,708000000.0,3559800.0,100000000.0,100000000.0,0.0,24996200.0,396000000.0,909000000.0,172000000.0,-62413300.0,25281000000.0,5111000000.0,15382200.0,513999999.9999999,5641000000.0,2767000000.0,549000000.0,580000000.0,1089000000.0,4985000000.0,656000000.0,0.0,0.0,14494200.0,463999999.9999999,478000000.0,353000000.0,0.0,412000000.0,65949300.0,0.0,723000000.0,725000000.0,455000000.0,38663000.0,494000000.0000001,231000000.0,951000000.0,4366000000.0,5317000000.0,0.0,50000000.0,9494100.0,0.0,2060000.0,0.0,0.0,-1887600.0,951000000.0,5317000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
